SUBJ	RECR	SESS	STAT	PROJ
201	1	18	0	0
201	1	19	0	0
201	1	20	0	0
201	1	21	0	0
201	1	22	0	1
201	1	23	0	1
201	1	24	0	1
201	1	25	0	1
201	1	26	0	1
201	1	27	0	1
201	1	13	0	0
201	1	14	0	0
201	1	15	0	0
202	1	1	0	0
202	1	2	0	0
202	1	3	0	0
202	1	4	0	0
202	1	5	0	0
202	1	6	0	0
202	1	7	0	0
202	1	8	0	0
202	1	9	0	0
202	1	10	0	0
202	1	11	0	0
202	1	12	0	0
202	1	16	0	0
202	1	17	0	0
202	1	18	0	0
202	1	19	0	0
202	1	20	0	0
202	1	21	0	0
202	1	22	0	0
202	1	23	0	0
202	1	24	0	0
202	1	25	0	1
202	1	26	0	1
202	1	27	0	1
202	1	13	0	0
202	1	14	0	0
202	1	15	0	0
203	1	1	0	0
203	1	2	0	0
203	1	3	0	0
203	1	4	0	0
203	1	5	0	0
203	1	6	0	0
203	1	7	0	0
203	1	8	0	0
203	1	9	0	0
203	1	10	0	0
203	1	11	0	0
203	1	12	0	0
203	1	16	0	0
203	1	17	0	0
203	1	18	0	0
203	1	19	0	0
203	1	20	0	0
203	1	21	0	0
203	1	22	0	0
203	1	23	0	0
203	1	24	0	0
203	1	25	0	1
203	1	26	0	1
203	1	27	0	1
203	1	13	0	0
203	1	14	0	0
203	1	15	0	0
204	1	1	0	0
204	1	2	0	0
204	1	3	0	0
204	1	4	0	0
204	1	5	0	0
204	1	6	0	0
204	1	7	0	0
204	1	8	0	0
204	1	9	0	0
204	1	10	0	0
204	1	11	0	0
204	1	12	0	0
204	1	16	0	0
204	1	17	0	0
204	1	18	0	0
204	1	19	0	0
204	1	20	0	0
204	1	21	0	0
204	1	22	0	0
204	1	23	0	0
204	1	24	0	0
204	1	25	0	1
204	1	26	0	1
204	1	27	0	1
204	1	13	0	0
204	1	14	0	0
204	1	15	0	0
205	1	1	0	0
205	1	2	0	0
205	1	3	0	0
205	1	4	0	0
205	1	5	0	0
205	1	6	0	0
205	1	7	0	0
205	1	8	0	0
205	1	9	0	0
205	1	10	0	0
205	1	11	0	0
205	1	12	0	0
205	1	16	0	0
205	1	17	0	0
205	1	18	0	0
205	1	19	0	0
205	1	20	0	0
205	1	21	0	0
205	1	22	0	0
205	1	23	0	0
205	1	24	0	0
205	1	25	0	0
205	1	26	0	0
205	1	27	0	0
205	1	13	0	0
205	1	14	0	0
205	1	15	0	0
206	1	1	0	0
206	1	2	0	0
206	1	3	0	0
206	1	4	0	0
