subject	session	speaker	protocol	last_update	utterances	word_tokens	word_types	mlu
109	9	C	H		923	2940	294	3.18526543879
109	10	P	H		694	4335	554	6.24639769452
109	10	C	H		726	3163	376	4.35674931129
109	11	P	H		557	3101	435	5.56732495512
109	11	C	H		462	1428	293	3.09090909091
109	12	P	H		446	2616	424	5.86547085202
109	12	C	H		526	2291	357	4.35551330798
110	1	P	H		933	2844	333	3.04823151125
110	1	C	H		82	96	15	1.17073170732
110	2	P	H		1056	3269	392	3.09564393939
110	2	C	H		508	526	69	1.03543307087
110	3	P	H		885	3329	393	3.7615819209
110	3	C	H		690	1031	155	1.49420289855
110	4	P	H		900	3207	335	3.56333333333
110	4	C	H		644	1691	186	2.62577639752
115	6	P	H		1333	5772	535	4.33008252063
115	6	C	H		494	846	162	1.71255060729
115	7	P	H		1151	4966	571	4.3145091225
115	7	C	H		499	977	188	1.95791583166
115	8	P	H		0	0	0	-
115	8	C	H		429	1089	197	2.53846153846
115	9	P	H		1279	6107	744	4.77482408131
115	9	C	H		538	1252	192	2.32713754647
116	7	P	H		957	3673	463	3.83803552769
116	7	C	H		541	832	228	1.53789279113
116	8	P	H		1133	4580	505	4.04236540159
116	8	C	H		496	1192	259	2.40322580645
116	9	P	H		365	1468	263	4.02191780822
116	9	C	H		481	1330	223	2.76507276507
117	4	P	H		1003	4493	482	4.47956131605
117	4	C	H		570	665	129	1.16666666667
117	5	P	H		1401	6444	592	4.59957173448
117	5	C	H		476	601	159	1.26260504202
117	6	P	H		1180	6202	616	5.25593220339
117	6	C	H		424	721	159	1.70047169811
117	7	P	H		1074	5138	635	4.78398510242
117	7	C	H		516	1187	217	2.3003875969
117	8	P	H		1002	5150	548	5.13972055888
117	8	C	H		638	1746	274	2.73667711599
117	9	P	H		1230	6566	579	5.33821138211
117	9	C	H		386	1086	200	2.81347150259
117	10	P	H		1127	5341	578	4.73913043478
117	10	C	H		587	1842	293	3.13798977853
117	11	P	H		1152	6050	619	5.25173611111
117	11	C	H		721	2189	338	3.03606102635
117	12	P	H		748	3817	507	5.10294117647
117	12	C	H		734	2428	367	3.30790190736
119	1	P	H		1860	5557	437	2.9876344086
119	1	C	H		7	7	7	1.0
119	2	P	H		1336	4075	428	3.0501497006
119	2	C	H		75	92	14	1.22666666667
119	3	P	H		1641	6183	540	3.76782449726
119	3	C	H		335	357	111	1.06567164179
119	4	P	H		1313	5349	498	4.07387661843
119	4	C	H		540	1016	167	1.88148148148
119	5	P	H		1328	5136	515	3.86746987952
119	5	C	H		702	1390	244	1.98005698006
119	6	P	H		990	4077	459	4.11818181818
119	6	C	H		542	1395	280	2.57380073801
119	7	P	H		1103	5239	619	4.74977334542
119	7	C	H		580	1842	305	3.17586206897
119	8	P	H		935	4119	480	4.40534759358
119	8	C	H		548	1402	271	2.55839416058
119	9	P	H		902	4204	506	4.66075388027
119	9	C	H		731	2303	329	3.15047879617
119	10	P	H		1351	6709	600	4.9659511473
119	10	C	H		535	1902	349	3.55514018692
119	11	P	H		889	4598	597	5.17210348706
119	11	C	H		778	2141	334	2.75192802057
119	12	P	H		1317	6196	642	4.7046317388
119	12	C	H		750	2437	382	3.24933333333
121	4	P	H		927	2743	319	2.95900755124
121	4	C	H		370	453	122	1.22432432432
121	5	P	H		775	2529	289	3.26322580645
121	5	C	H		131	201	69	1.53435114504
121	6	P	H		653	1987	323	3.04287901991
121	6	C	H		176	357	96	2.02840909091
121	7	P	H		869	2890	325	3.32566168009
121	7	C	H		302	570	153	1.88741721854
121	8	P	H		763	2551	331	3.34338138925
121	8	C	H		321	577	161	1.79750778816
121	9	P	H		538	1640	313	3.04832713755
121	9	C	H		322	683	108	2.12111801242
123	1	P	H		828	3119	380	3.76690821256
123	1	C	H		1	1	1	1.0
123	2	P	H		336	1107	197	3.29464285714
123	2	C	H		6	6	4	1.0
123	3	P	H		479	1644	289	3.43215031315
123	3	C	H		150	152	38	1.01333333333
123	4	P	H		679	3100	545	4.56553755523
123	4	C	H		256	306	91	1.1953125
123	5	P	H		541	2566	407	4.74306839187
123	5	C	H		208	462	113	2.22115384615
123	6	P	H		743	2994	383	4.02960969044
123	6	C	H		567	1611	228	2.84126984127
124	1	P	H		1010	3608	424	3.57227722772
124	1	C	H		14	19	4	1.35714285714
124	2	P	H		868	3055	404	3.51958525346
124	2	C	H		12	12	8	1.0
124	3	P	H		1021	3498	370	3.42605288932
124	3	C	H		169	224	60	1.32544378698
124	5	P	H		567	1858	289	3.27689594356
124	5	C	H		121	252	77	2.0826446281
124	6	P	H		373	1445	336	3.87399463807
124	6	C	H		309	876	191	2.83495145631
124	7	P	H		1334	5373	617	4.02773613193
124	7	C	H		246	662	158	2.69105691057
124	8	P	H		335	1338	315	3.99402985075
124	8	C	H		343	918	145	2.67638483965
124	9	P	H		1043	4458	638	4.27420901246
124	9	C	H		324	759	237	2.34259259259
124	10	P	H		344	1304	288	3.79069767442
124	10	C	H		202	584	131	2.89108910891
124	12	P	H		406	1787	345	4.40147783251
124	12	C	H		251	850	216	3.38645418327
125	1	P	H		213	688	237	3.23004694836
125	1	C	H		7	7	5	1.0
125	2	P	H		743	2903	477	3.90713324361
125	2	C	H		146	177	38	1.21232876712
125	3	P	H		44	125	76	2.84090909091
125	3	C	H		253	444	69	1.75494071146
125	4	P	H		1015	5543	901	5.46108374384
125	4	C	H		534	1202	199	2.25093632959
125	5	P	H		854	3024	469	3.54098360656
125	5	C	H		697	1918	241	2.75179340029
125	6	P	H		967	4868	780	5.03412616339
125	6	C	H		757	2596	305	3.42932628798
125	7	P	H		664	2828	487	4.25903614458
125	7	C	H		432	1654	286	3.8287037037
125	8	P	H		1032	4743	689	4.59593023256
125	8	C	H		226	824	231	3.64601769912
125	9	P	H		511	2996	606	5.86301369863
125	9	C	H		274	976	239	3.56204379562
125	10	P	H		264	1234	326	4.67424242424
125	10	C	H		299	1968	346	6.58193979933
125	11	P	H		199	936	271	4.70351758794
125	11	C	H		499	1933	353	3.87374749499
125	12	P	H		241	1004	275	4.16597510373
125	12	C	H		242	874	247	3.61157024793
126	1	P	H		997	3832	391	3.84353059178
126	1	C	H		4	4	1	1.0
126	3	P	H		508	2086	325	4.1062992126
126	3	C	H		109	113	34	1.03669724771
126	4	P	H		966	3942	444	4.08074534161
126	4	C	H		273	360	109	1.31868131868
126	5	P	H		502	2383	407	4.74701195219
126	5	C	H		203	485	128	2.38916256158
126	6	P	H		405	1669	298	4.12098765432
126	6	C	H		297	976	176	3.2861952862
126	7	P	H		588	3018	520	5.13265306122
126	7	C	H		512	1550	285	3.02734375
126	8	P	H		487	1943	323	3.98973305955
126	8	C	H		270	895	220	3.31481481481
127	1	P	H		877	2829	372	3.22576966933
127	1	C	H		312	381	43	1.22115384615
127	2	P	H		564	1964	315	3.48226950355
127	2	C	H		171	205	47	1.19883040936
127	3	P	H		822	3080	464	3.74695863747
127	3	C	H		403	517	153	1.28287841191
127	4	P	H		379	1822	357	4.8073878628
127	4	C	H		479	805	166	1.68058455115
127	5	P	H		828	3385	501	4.08816425121
127	5	C	H		344	618	171	1.79651162791
127	6	P	H		1180	5298	601	4.48983050847
127	6	C	H		364	947	200	2.60164835165
127	7	P	H		994	3978	561	4.00201207243
127	7	C	H		746	1805	335	2.41957104558
127	8	P	H		289	1314	312	4.54671280277
127	8	C	H		614	2086	320	3.39739413681
127	9	P	H		1054	5027	527	4.76944971537
127	9	C	H		331	1134	209	3.42598187311
127	10	P	H		1463	10017	1070	6.84688995215
127	10	C	H		693	2156	367	3.11111111111
127	11	P	H		1487	8101	783	5.44788164089
127	11	C	H		416	1575	259	3.78605769231
127	12	P	H		1682	9763	996	5.80439952438
127	12	C	H		416	1218	265	2.92788461538
129	7	P	H		1307	5721	529	4.37719969396
129	7	C	H		641	1473	263	2.29797191888
129	8	P	H		1701	7785	688	4.57671957672
129	8	C	H		622	1444	270	2.32154340836
129	9	P	H		1495	6754	749	4.51772575251
129	9	C	H		702	2404	365	3.4245014245
132	2	P	H		1167	4496	492	3.85261353899
132	2	C	H		103	107	36	1.03883495146
132	3	P	H		1319	5439	634	4.12357846854
132	3	C	H		171	200	67	1.16959064327
132	4	P	H		1070	5563	633	5.19906542056
132	4	C	H		265	314	92	1.18490566038
132	5	P	H		1262	5795	653	4.59191759113
132	5	C	H		602	714	165	1.18604651163
132	6	P	H		1698	7176	688	4.22614840989
132	6	C	H		835	1408	288	1.68622754491
132	7	P	H		1198	4948	525	4.13021702838
132	7	C	H		646	1761	256	2.72600619195
132	8	P	H		1136	5237	552	4.61003521127
132	8	C	H		532	1275	244	2.39661654135
132	9	P	H		1373	6037	694	4.3969410051
132	9	C	H		711	2557	345	3.59634317862
132	10	P	H		1216	5605	579	4.609375
132	10	C	H		606	1912	306	3.15511551155
132	11	P	H		1238	5229	594	4.22374798061
132	11	C	H		576	1817	294	3.15451388889
132	12	P	H		1040	4499	549	4.32596153846
132	12	C	H		894	3112	383	3.48098434004
133	8	P	H		1252	4901	522	3.91453674121
133	8	C	H		644	1949	274	3.02639751553
133	9	P	H		775	3436	456	4.4335483871
133	9	C	H		297	833	194	2.80471380471
134	4	P	H		1293	5082	519	3.93039443155
